market,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,tp21,tp22,tp23,tp24,tp25,tp26,tp27,tp28,tp29,tp30,tp31,tp32,tp33,tp34,tp35,tp36,tp37,tp38,tp39,tp40,tp41,tp42,tp43,tp44,tp45,tp46,tp47,tp48,LONGITUDE,LATITUDE
301001,NaN,NaN,220,240,NaN,NaN,10,210,20,NaN,40,460,220,214,NaN,250,NaN,250,360,NaN,NaN,50,NaN,225,81.99,210,222,NaN,260,210,234.99,257,237,242.01,267,277.02,449,260,81,266,268.98,264,251,292.02,314.02,235,252,276,84.8567932,20.9211366
301002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.97,27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.5353247,20.7240587
301003,39.99,39.99,87.01,81.97,69,NaN,30,69,12,36,79.02,108.96,297.99,30,NaN,27,72,36.99,81,111.04,42,78,27,77.98,80.01,66,73.02,51,57,27,24,57,45,27,49,46,64,49,36,46,46,52,54,42.99,39,23,55,48,84.887495,20.8850467
301004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.1510818,20.8444033
301005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.2023569,21.4276754
301006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.216816,20.9501027
302001,17.7,17.7,37.92,42.42,29.68,33.6,21.51,14,35.5,27.92,49.91,42.48,29.52,28,28,21.99,13,25,45,27,48.02,18,45.99,29,27,39,36,40.02,34.98,18.99,30.5,27,43.02,28,43.02,38.52,27,34,37.98,39,29,30,38.01,22,18,18.99,45.01,13,83.4842725,20.7074234
302002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.1380955,20.7127028
302003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.9205737,20.4639112
302004,9,9,28.08,31.38,22.4,27.5,18.72,16.2,24.7,20.2,37.59,28.5,24.48,21,21,18.99,10,20,34.98,22.48,37.03,18,34.02,28.5,22,31.02,33,38.99,33,17.01,25.5,21,34.02,24,34.02,32.52,15.99,27,30,31.02,24,27,28,18,18.51,15.99,38.99,11,83.4830247,20.5036747
303001,30,30,NaN,NaN,20,NaN,NaN,NaN,20,55.02,50,50,50,50,50,10,50,20,30,40,30,30,40,30,40,40,40,30,40,30,80,70,60,60,50,20,20,30,40,45,40,10,70.02,35.01,58,39.99,36.99,20,87.3981265,21.6707506
303002,20,20,NaN,NaN,30,NaN,NaN,NaN,20,50,50,50,70.02,50,40,39.99,45,40,24.99,40,45,40,50,30,50,20,40,40,30,20,80,60,60,40,60,20,40,50,30,64.98,50,NaN,60,70.02,73.02,62,51,60,86.7504372,21.3411692
303003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45,420,480,420,240,420,429.03,360,420,360,360,420,480,480,120,420,450.03,360,480,300,240,420,87.2269973,21.8038883
303004,32,32,15,35,43.02,36,7,9,36,24,34,49,54,36,24.99,49.98,49.02,39,41,52.02,64,26.01,52.99,60.97,34,41,18,39,15,27,42,43.98,56,45,48,49.98,31,48,38,43.02,46.02,30,38,43.02,46.97,39,7,27.02,86.7567219,21.4618792
304001,2.2,2.2,3.6,2,1.8,NaN,NaN,2.2,2,NaN,2,2,0.15,2,2.2,2,4.4,2,NaN,0.15,1.4,1.6,2.4,NaN,NaN,1.8,2,2.2,NaN,NaN,2,1.8,2.2,2,1.8,1.4,2,2,4.4,2,1.8,2,2.2,2,2,2.2,3.4,2.5,83.775678,21.3690304
304002,27.92,27.92,31.84,18.2,18.9,29.89,22.4,15.09,29.12,17.88,28.56,27.68,25.52,18.76,25.28,12.9,25.76,14.28,20.46,19.8,17.4,11.31,23.8,22.96,26,19.08,22.5,28.08,23.04,21.84,21.6,20.72,22.8,18.06,21.04,17.58,24.16,20.02,22.64,24,24.72,23.1,28.64,22.4,30.56,30.73,16.8,13.76,83.624201,21.3425839
304003,35.12,35.12,40.88,34.09,30.96,126.06,28.62,22.35,38.08,34.02,63.28,40.32,35.56,30.78,23.3,23,21.95,13.11,31.56,31.85,25.2,26.28,34.79,24.24,30.94,28.77,28.77,26.58,28.63,24.54,36.96,18.12,37.12,31.85,37.04,23,25.38,31.64,27.66,32.62,31.92,30.8,32.41,32.9,37.92,27.3,36.88,18,83.5949262,21.1901408
304004,0.09,0.09,1,1,1,1,1.1,NaN,1,1,1,1,1,0.16,1,0.15,1,1,1,1,2.7,NaN,1.2,NaN,1.02,1.02,1.03,NaN,1,NaN,1.5,3.6,2,0.15,0.14,NaN,1.5,1.5,1.5,1.8,1.8,1.5,3,1.5,1.4,2,1.9,2,83.8419989,21.4159983
304005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.065668,20.9973378
304006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83.3989686,21.3027537
305001,3.71,3.71,4.8,4.13,3.99,3.3,4.48,2.6,4.56,3,4.32,4.4,4.16,3.99,3.92,3.18,3.12,3.42,4.4,4.32,4.32,3.78,3.71,3.57,3.18,3.5,4,4.08,4,1.5,3.5,3,3.78,3.71,4.16,1.29,2.08,3.57,3.78,4.08,4.16,3.71,4.16,3.57,3.57,3.57,4,3.12,84.3271305,20.828446
305002,2.8,2.8,3.36,2.8,2.87,2.52,3.28,2,3.28,2.4,3.28,3.2,3.28,2.8,2.8,2.4,2.4,2.4,3.04,3.12,3.04,2.73,2.73,2.31,2.28,2.73,2.56,2.72,2.72,1.11,2.59,2.4,2.59,2.17,2.72,1.11,1.28,2.38,2.56,2.72,2.72,2.17,2.72,2.52,2.38,2.1,2.48,1.8,84.2515861,20.8632979
306001,309.99,309.99,99,535,408,338.72,842,564,835.03,462.6,512,666,562,363,311.5,196,695.03,513.72,600,390,565.98,98,12,513,613.98,136.5,652.02,598.02,749.21,365,938.24,568,777.49,448,480,590,700.02,682.02,684.48,462,710.4,792.61,889.2,790.37,900,828.38,978,853.02,86.4958396,21.0582737
306002,170,170,255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,680,680,340,NaN,85,255,357,NaN,25.5,263.52,170,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.96,476.98,544.96,376,86.7436951,20.7739916
306003,17.2,17.2,17.7,36.8,26.49,111.99,42.2,43.3,43.8,44.9,27.81,71.28,50.22,22.5,41.3,16,58.38,50.28,32.8,16.4,52.68,NaN,8.5,25.89,32.72,26.91,43.8,48.6,69.92,58.17,62.02,49.38,78.1,34.44,26.01,33.52,43.5,52.32,43.3,36.2,66.56,50.82,65.44,60.13,56.98,52.68,65.38,70.4,86.5419609,20.9582342
307001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.81,6.99,2.4,10.2,85.6306396,20.5173954
307002,11.1,11.1,9.18,12.39,12.3,7.2,3.69,6,9.6,11.2,12,2.4,18.24,4.8,14.1,6.3,8.4,8.8,9.3,14.24,10.2,12.67,12.3,12.3,15.28,10,7.2,13.98,13.62,5.4,15.3,9.6,11.88,4.8,10.8,4.8,6.3,12.53,13.2,6,10.78,12,13.37,12.9,17.99,15.6,15,13.38,85.5290361,20.3765951
307003,15.12,15.12,16.48,15.47,16.98,20.02,23.04,10.48,18.48,13.3,16.98,19.04,21.52,18.48,24.96,15.48,20.96,18.48,19.52,19.04,20.96,10.32,12.6,17.01,14.52,15.47,18.08,18.72,18,18.48,23.6,21.98,24,21.07,20.8,16.5,23.52,14,17.99,24,26.48,17.1,14,21.98,22,18.48,24.48,28,86.1459216,20.4685824
307004,NaN,NaN,NaN,NaN,NaN,NaN,17.99,9,18,12.18,15.47,18.13,20.64,18.62,17.92,14,17.28,17.5,17.01,16.96,13.02,9,10.1,13.23,14.52,13.58,8.1,15.04,17.92,16.52,18.72,22.12,20.48,18.62,22.48,14.5,22.72,12,16.03,21.52,23.04,16.98,9,17.52,20,19.53,22.48,23.04,86.0606074,20.1410778
308001,56,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,42,49,35,84.7289442,21.5383136
308002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17.5,15.48,17.43,11.7,84.6034271,21.5461978
309001,522,522,431.97,306,495.04,252,478,315,468,360,387,476.96,486,423.01,297,405.02,369,306,351,333,431.97,306,522,369,243,63,476.96,512.96,252,441,522,441,324,189,512.96,369,198,315,504,512.96,504,450.03,504,378,504,60,220,144,85.5972218,20.6503455
309002,52,52,94,103,103.98,35.01,119,63,104,51,112.02,100,74.01,111,58,102,167.02,50,62,112,122.01,75,84.98,64,54,98,112,156,68,12,41.01,24,30,56,59,62,124,39.99,112,123,92,89,92,104,548,108,150.01,42,85.5560635,20.9228602
309003,486,486,488,369,405.02,234,468,234,495.04,243,450,467.04,405.02,279,234,423.01,234,288,413.98,171,378,225,476.96,351,297,360,288,459.04,180.12,405.02,423.01,360,369,189,486,369,243,297,495.04,476.96,243,324,495.04,369,413.98,30,180,126,85.5869352,20.887971
309004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.2023569,20.6131143
310001,20.01,20.01,10,20,10,35,10,20,10,20,NaN,20,NaN,NaN,NaN,NaN,10,10,NaN,NaN,10,20,5,NaN,20,20,20,5,30,10,15,20,20.01,15,10,10,10,24.99,NaN,10,NaN,15,20,NaN,NaN,NaN,NaN,NaN,83.8807729,18.8577644
310002,10,10,10,10,10,NaN,NaN,20,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,NaN,10,NaN,NaN,NaN,5,10,10,12,20,20,10,NaN,NaN,NaN,10,NaN,30,10,NaN,NaN,NaN,10,NaN,NaN,NaN,NaN,84.214624,18.8583919
311001,0.3,0.3,NaN,0.3,0.3,0.2,0.2,NaN,0.2,NaN,NaN,NaN,0.7,0.4,0.4,0.6,NaN,NaN,NaN,NaN,NaN,NaN,0.6,0.6,0.4,0.6,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.7,0.6,0.6,0.8,0.5,0.6,0.7,0.7,0.6,0.8,0.7,0.8,0.7,0.6,0.7,84.582481,19.9358071
311002,NaN,NaN,12,NaN,11,24,NaN,NaN,12,11,NaN,12,1.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10,12,10,24,NaN,12,NaN,NaN,12,11,12,NaN,84.5667665,19.3777377
311003,146.22,146.22,75.21,96.8,71.31,95,167.37,99.92,118.4,112.6,185.29,176.4,128,128.4,210.4,133.5,112.6,48.7,125.2,106.48,182,99,202.24,106.72,157.08,131.6,159.48,187.81,206.88,78.81,190.33,109.6,210,132,107,NaN,206,106,181.02,177.03,54,184.03,156,185.01,196.98,166.02,177.03,220.96,84.7472259,19.4749452
312001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.1706221,20.2548998
312002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.3820191,20.310028
313001,256.02,256.02,223,296.03,200,112,209,92,132.99,50,100,52,204,48,279,193,295.02,304.98,56.6,147,48,NaN,NaN,104,NaN,52.8,217,92,271.98,353.99,396,265,374.99,322.02,424.96,310.02,416,357,357,420.96,361.97,248,347.97,252,335.04,277.97,311.01,352.03,86.3326058,20.8341019
313002,NaN,NaN,30,30,NaN,60,NaN,NaN,NaN,NaN,NaN,30,30,NaN,54,32,32,62,32,NaN,1.4,NaN,NaN,NaN,NaN,NaN,24,27,64,60,87.99,30,32,58,64,62,96,60,32,66,64,64,64,60,32,32,60,96,86.4424613,20.8372692
314001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,70,34.5,45.28,45.08,37.59,40.08,17.58,25.2,27.28,37.17,32.97,35.28,56.16,91.04,84.0061661,21.8554375
315001,32,32,28,32,48,16,44.01,24,16,39.99,48,32,32,NaN,38.01,32,32,16,16,44.01,32,44.01,52,16,16,32,48,32,60,24,16,44.01,48,28,55.92,24,56,32,48,12,39.99,45.6,22.4,32,1.6,32,32,6,83.1641562,19.9074279
315002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.56,29.62,NaN,13.11,NaN,11.92,23.76,11.8,33.15,68.3,47.68,82.9405172,19.8620964
315003,13.91,13.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.32,22.62,NaN,24.86,11.71,21.16,17.01,10.81,10.91,37.65,21.66,82.7751622,19.8717147
315004,22,22,63,60,64,20,NaN,10,50,NaN,24,30,10,12,NaN,16,27,44.01,54,27,39.99,8,NaN,11,8,5,18.99,0.2,15,5,21,27,42.99,19,17,NaN,21.5,NaN,30,35.01,12,20,15,47.01,37,12,45.99,25,83.2104426,20.1850477
315005,NaN,NaN,NaN,NaN,1.9,3.6,1.8,NaN,7,5.92,4.29,6.2,8.5,6.48,7.6,4.2,7.52,7.12,5.19,8.91,2.7,4.71,4.8,NaN,NaN,3,5.4,4.6,5.8,5.4,2.7,2.4,1.4,NaN,3.68,6.32,3.8,NaN,3.4,4,5.2,0.7,5.01,3.6,2,2.7,4.2,6.48,82.8413782,19.4305468
316001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.01,41.6,8.5,26.1,33.72,50.58,24.3,NaN,NaN,44.52,34.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.99,84.0167423,20.1342042
316002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.3673483,19.7986223
